[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[436/995] NDL Startup Funding Diagnosis                      ✗ fetch failed
[437/995] Circuit Boards                                     ✗ fetch failed
[438/995] Software Product                                   ✗ fetch failed
[439/995] Gas Station Profitability Analysis                 ✗ fetch failed
[440/995] Estimate Sales of EV Passenger Vehicles in 2030    ✗ fetch failed
[441/995] Ubisoft Corporate History and Financial Highlights ✗ fetch failed
[442/995] Improving Profitability                            ✗ fetch failed
[443/995] ISP Market Entry in Africa                         ✗ fetch failed
[444/995] HUL Logistics Cost Reduction                       ✗ fetch failed
[445/995] Marketing Budget Allocation for Premium Cadbury Ch ✗ fetch failed
[446/995] Improving Profitability - Clothing Company         ✗ fetch failed
[447/995] Tulsa Hotel - OK or not OK?                        ✗ fetch failed
